ocm45492066	990000072300302486,(Aleph)000007230EMU01	None	0
(OCoLC)39226063	990000072390302486,(Aleph)000007239EMU01	1521-6136	0
(OCoLC)37950103	990000075720302486,(Aleph)000007572EMU01	1942-8774	1
(OCoLC)45503033	990000079240302486,(Aleph)000007924EMU01	1033-2243; 1445-9361	0
(OCoLC)2394182	990000079250302486,(Aleph)000007925EMU01	None	1
ocm39877490	990000079380302486,(Aleph)000007938EMU01	None	1
ocm42817301	990000079440302486,(Aleph)000007944EMU01	None	1
(OCoLC)45221084	990000080000302486,(Aleph)000008000EMU01	1934-0346	1
(OCoLC)45748135	990000081060302486,(Aleph)000008106EMU01	None	0
(OCoLC)38006788	990000081900302486,(Aleph)000008190EMU01	1536-0024	0
ocm1367727	990000082260302486,(Aleph)000008226EMU01	0190-3306	1
(OCoLC)9535422	990000082590302486,(Aleph)000008259EMU01	0738-1360	0
ocm12996541	990000082600302486,(Aleph)000008260EMU01	None	0
ocm38154530	990000083690302486,(Aleph)000008369EMU01	1365-0742	0
ocm39304152	990000084170302486,(Aleph)000008417EMU01	None	0
(OCoLC)18339221	990000084200302486,(Aleph)000008420EMU01	None	0
(OCoLC)44614878	990000084340302486,(Aleph)000008434EMU01	1531-0434	0
ocm42207628	990000086030302486,(Aleph)000008603EMU01	1526-3819	0
(OCoLC)11930339	990000086040302486,(Aleph)000008604EMU01	0826-3663	0
(OCoLC)27365434	990000086060302486,(Aleph)000008606EMU01	1015-356X; 1225-651X	0
(OCoLC)45407983	990000086860302486,(Aleph)000008686EMU01	1532-5490	0
(OCoLC)45300599	990000088010302486,(Aleph)000008801EMU01	1546-4067	0
(OCoLC)17526960	990000089210302486,(Aleph)000008921EMU01	0731-7247; 0899-5362	0
ocm45555433	990000091770302486,(Aleph)000009177EMU01	1117-0921	0
ocm45574987	990000091790302486,(Aleph)000009179EMU01	None	0
ocm45575170	990000091800302486,(Aleph)000009180EMU01	None	0
ocm45576099	990000091810302486,(Aleph)000009181EMU01	1117-031X	0
(OCoLC)45576188	990000091820302486,(Aleph)000009182EMU01	None	0
(OCoLC)25538535	990000091920302486,(Aleph)000009192EMU01	0082-1527	0
ocm28178039	990000092910302486,(Aleph)000009291EMU01	0954-254X; 1351-8046	0
(OCoLC)44122107	990000092920302486,(Aleph)000009292EMU01	1464-7001	0
